enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
142,3,14.753539880313468,3,5016.636292,5199.752846,5085.2196084,74.69301913727949,4992.4759756260855,5177.963241173914
141,3,14.657995702005097,3,5013.873242,5285.761094,5090.287060199999,112.41224276590162,4950.708825409253,5229.8652949907455
140,3,14.628470665110555,3,5177.094867,5362.162223,5231.4162122,75.45998675847949,5137.720263343115,5325.112161056884
139,3,14.6048532686912,3,5236.511337,5339.28349,5291.268887200001,37.08345814798575,5245.223692291725,5337.314082108277
138,3,14.602006642924115,3,5112.687485,5298.63708,5197.085948,76.63987644804969,5101.924972593819,5292.246923406181
137,3,14.584132953316077,3,5279.385028,5406.510532,5333.8862568,54.76025653156379,5265.892417736747,5401.880095863254
136,3,14.402296240530543,2,5100.533698,5250.348413,5173.2913528,57.98837822711654,5101.289271245817,5245.293434354183
135,3,14.386070311242053,2,5241.558604,5467.276247,5330.5567492,88.51694775548977,5220.648441948224,5440.465056451776
134,3,14.275771292648251,3,4982.126257,5121.080102,5038.74748,53.55178979859048,4972.254150572009,5105.240809427991
133,3,14.202437044394884,3,5142.49619,5358.87079,5226.951550400001,88.87172249885937,5116.602732121939,5337.300368678063
132,3,14.18458522481359,3,5159.930812,5376.188703,5265.5957712,97.89383705600646,5144.044518089382,5387.147024310618
131,3,14.180593252752155,3,5224.707439,5378.824723,5281.4401256,60.7268096965707,5206.037832278867,5356.842418921133
130,3,14.176964731563666,3,5378.888335,5598.053192,5486.922122800001,95.75354638513865,5368.028391560919,5605.815854039082
129,3,14.103131744403438,3,5007.469405,5175.213025,5072.6327656,73.2219300611067,4981.715731170003,5163.549800029998
128,3,14.055376515767907,2,5079.921551,5322.939751,5165.5098808,103.45842005617743,5037.0492853135,5293.9704762865
127,3,13.998937781131826,3,5298.795117,5465.622633,5380.0373248000005,75.48779445391422,5286.306848128824,5473.767801471177
126,3,13.926505699564414,3,5129.736052,5341.94479,5197.967514399999,89.23503451717816,5087.167584668706,5308.767444131293
125,3,13.87498861260794,3,4986.84322,5142.388103,5032.8220066,62.543253135912295,4955.164300855609,5110.479712344391
124,3,13.847377260694529,3,5092.748218,5243.157541,5156.3162558,61.39988433354462,5080.078229934087,5232.554281665914
123,3,13.820447785799127,2,5032.753638,5206.216885,5096.0287282,79.46880032617938,4997.355179860913,5194.702276539087
